# Zestaw 1
[815;2255;100;220]
#Dane wejściowe
0;104
10;91
20;22
80;132
90;129
125;207
155;41
185;177
215;71
245;154
275;77
305;286
335;93
365;148
395;228
425;201
455;247
485;177
515;65
545;162
575;84
605;34
635;182
665;173
695;214
725;257
755;48
785;279
815;293
845;70
875;154
905;195
935;175
965;220
995;264
1025;2
1055;127
1085;67
1115;227
1145;211
1175;73
1205;45
1235;84
1265;249
1295;225
1325;291
1355;86
1385;218
1415;25
1445;201
1475;118
1505;199
1535;278
1565;4
1595;233
1625;156
1655;39
1685;214
1715;243
1745;18
1775;141
1805;265
1835;62
1865;192
1895;260
1925;294
1955;139
1985;160
2015;92
2045;267
2075;36
2105;193
2135;262
2165;268
2195;283
2225;51
2255;121
2256;280
2257;96
2258;158
2259;215
2260;243
2261;158
2262;292
2263;212
2264;5
2265;242
2266;58
2392,206349;51
2411,555556;187
2430,904762;11
2450,253968;205
2469,603175;240
2488,952381;25
2508,301587;66
2527,650794;239
2547;193
2566,349206;85
2585,698413;60
2605,047619;282
